STATION,NAME,DATE,DY,PRCP,TMAX,TMIN
USC00036920,"STUTTGART 9 ESE, AR US",1970-04,1,6.28,73.9,55
USC00036920,"STUTTGART 9 ESE, AR US",1970-05,1,2.57,83.3,62.6
USC00036920,"STUTTGART 9 ESE, AR US",1970-06,1,2.21,88.1,68.4
USC00036920,"STUTTGART 9 ESE, AR US",1970-07,1,4.2,88.5,69.4
USC00036920,"STUTTGART 9 ESE, AR US",1970-08,1,10.04,89.5,70.4
USC00036920,"STUTTGART 9 ESE, AR US",1970-09,1,2.8,86.9,66.6
USC00036920,"STUTTGART 9 ESE, AR US",1970-10,1,5.29,71.7,49.5
USC00036920,"STUTTGART 9 ESE, AR US",1970-11,1,2.2,60,38.5
USC00036920,"STUTTGART 9 ESE, AR US",1970-12,1,4.35,57.5,37
USC00036920,"STUTTGART 9 ESE, AR US",1971-01,1,2.6,49.6,30.3
USC00036920,"STUTTGART 9 ESE, AR US",1971-02,1,4.02,52.6,32
USC00036920,"STUTTGART 9 ESE, AR US",1971-03,1,4.95,58.5,37.8
USC00036920,"STUTTGART 9 ESE, AR US",1971-04,1,1.84,72.9,49.2
USC00036920,"STUTTGART 9 ESE, AR US",1971-06,1,6.1,90.3,69.8
USC00036920,"STUTTGART 9 ESE, AR US",1971-07,1,4.65,88.9,70
USC00036920,"STUTTGART 9 ESE, AR US",1971-08,1,4.18,86.7,67.5
USC00036920,"STUTTGART 9 ESE, AR US",1971-09,1,1.59,85.5,64.7
USC00036920,"STUTTGART 9 ESE, AR US",1971-10,1,0.47,81.7,55.2
USC00036920,"STUTTGART 9 ESE, AR US",1971-11,1,2.42,63.4,39.6
USC00036920,"STUTTGART 9 ESE, AR US",1971-12,1,5.77,58.3,40.4
USC00036920,"STUTTGART 9 ESE, AR US",1972-01,1,2.89,51.7,32.5
USC00036920,"STUTTGART 9 ESE, AR US",1972-02,1,0.82,55,32.4
USC00036920,"STUTTGART 9 ESE, AR US",1972-03,1,3.33,63.8,41.6
USC00036920,"STUTTGART 9 ESE, AR US",1972-04,1,1.69,74.1,51.5
USC00036920,"STUTTGART 9 ESE, AR US",1972-05,1,1.66,81.6,59.4
USC00036920,"STUTTGART 9 ESE, AR US",1972-06,1,2.7,89.1,66.4
USC00036920,"STUTTGART 9 ESE, AR US",1972-07,1,3.6,89.4,67.8
USC00036920,"STUTTGART 9 ESE, AR US",1972-08,1,3.67,90.8,68.9
USC00036920,"STUTTGART 9 ESE, AR US",1972-09,1,4.55,86.2,67.3
USC00036920,"STUTTGART 9 ESE, AR US",1972-10,1,5.74,72.7,50.6
USC00036920,"STUTTGART 9 ESE, AR US",1972-11,1,9.39,55.5,40
USC00036920,"STUTTGART 9 ESE, AR US",1972-12,1,9.06,47.6,32
USC00036920,"STUTTGART 9 ESE, AR US",1973-01,1,5.48,47.6,31.9
USC00036920,"STUTTGART 9 ESE, AR US",1973-02,1,4.15,51,32.8
USC00036920,"STUTTGART 9 ESE, AR US",1973-03,1,7.16,65.1,48.3
USC00036920,"STUTTGART 9 ESE, AR US",1973-04,1,13.34,67.4,50.3
USC00036920,"STUTTGART 9 ESE, AR US",1973-05,1,4.57,78.2,58.3
USC00036920,"STUTTGART 9 ESE, AR US",1973-06,1,1.65,88.5,68.4
USC00036920,"STUTTGART 9 ESE, AR US",1973-07,1,3.39,90.8,72.4
USC00036920,"STUTTGART 9 ESE, AR US",1973-08,1,0.69,89.1,68.5
USC00036920,"STUTTGART 9 ESE, AR US",1973-09,1,3.78,83.8,65.2
USC00036920,"STUTTGART 9 ESE, AR US",1973-10,1,4,78.4,55.1
USC00036920,"STUTTGART 9 ESE, AR US",1973-11,1,8.22,65.5,46.8
USC00036920,"STUTTGART 9 ESE, AR US",1973-12,1,4.51,51.7,34.2
USC00036920,"STUTTGART 9 ESE, AR US",1974-01,1,7.01,48.8,36
USC00036920,"STUTTGART 9 ESE, AR US",1974-02,1,2.65,55.7,35
USC00036920,"STUTTGART 9 ESE, AR US",1974-03,1,2.51,68.7,47.9
USC00036920,"STUTTGART 9 ESE, AR US",1974-05,1,4.67,81.2,64.1
USC00036920,"STUTTGART 9 ESE, AR US",1974-06,1,7.54,82.5,64.8
USC00036920,"STUTTGART 9 ESE, AR US",1974-07,1,5.69,91.9,72.1
USC00036920,"STUTTGART 9 ESE, AR US",1974-08,1,5.19,87,69
USC00036920,"STUTTGART 9 ESE, AR US",1974-09,1,3.91,75.3,58.6
USC00036920,"STUTTGART 9 ESE, AR US",1974-10,1,2.52,74,49
USC00036920,"STUTTGART 9 ESE, AR US",1974-11,1,5.33,62,43.8
USC00036920,"STUTTGART 9 ESE, AR US",1974-12,1,4.88,51.6,34.9
USC00036920,"STUTTGART 9 ESE, AR US",1975-01,1,2.86,54,35.3
USC00036920,"STUTTGART 9 ESE, AR US",1975-02,1,3.89,53.2,34.5
USC00036920,"STUTTGART 9 ESE, AR US",1975-03,1,9.54,58.2,39
USC00036920,"STUTTGART 9 ESE, AR US",1975-04,1,3.08,70,50.4
USC00036920,"STUTTGART 9 ESE, AR US",1975-05,1,4.85,80.7,63.5
USC00036920,"STUTTGART 9 ESE, AR US",1975-06,1,5.03,86.6,68.7
USC00036920,"STUTTGART 9 ESE, AR US",1975-07,1,1.66,90,71.4
